渠道,原声情感,原声类型,原声日期,原声内容,店铺名称,商品id,商品标题,商品链接,原声id,,,,,,,,,,
天猫,中性,咨询,2026-08-03 23:40:15,亲 为什么壶加热了有糊味 一股烧焦味是为什么<br>之前没有的 最近才有的<br>溢出后现在怎么办<br>就是感觉缝里面<br>怎么清洗呢<br>所以有这个就是会有烧焦味是吗<br>,小熊电器官方旗舰店,832406608200,小熊全玻璃恒温养生壶家用多功能办公室小型煮茶壶烧水壶炖煮一体,https://detail.tmall.com/item.htm?id=832406608200,7e854fc57134aba7baf35ee79ab3bfb5cb782f9f155c40d76155cc34b06eefc9_2215107505922_20260803,,,,,,,,,,
天猫,中性,咨询,2026-08-03 23:40:15,亲 为什么壶加热了有糊味 一股烧焦味是为什么<br>之前没有的 最近才有的<br>溢出后现在怎么办<br>就是感觉缝里面<br>怎么清洗呢<br>所以有这个就是会有烧焦味是吗<br>,小熊电器官方旗舰店,832406608200,小熊全玻璃恒温养生壶家用多功能办公室小型煮茶壶烧水壶炖煮一体,https://detail.tmall.com/item.htm?id=832406608200,7e854fc57134aba7baf35ee79ab3bfb5cb782f9f155c40d76155cc34b06eefc9_2215107505922_20260803,,,,,,,,,,
天猫,中性,咨询,2026-08-03 23:32:49,取水器有几种<br>哪款推荐,小熊电器官方旗舰店,953780186914,小熊桶装水电动抽水器吸水器压水器自吸全自动抽水神器水泵上水器,https://detail.tmall.com/item.htm?id=953780186914,afba084700e6557574b85cf49a8af559ffed5181d210b6fb7ee3b25bab84ab57_2215007019509_20260803,,,,,,,,,,
天猫,负向,咨询,2026-08-03 23:30:36,锅烂了<br>用不了<br>不过电了,小熊电器官方旗舰店,652993501043,小熊电饭煲家用3到4人小型智能电饭锅陶瓷油内胆不粘微压快煮饭,https://detail.tmall.com/item.htm?id=652993501043,8a0071b26c659882e2899f9bb49a866b6cc2f85d30718013d0dfc2346f4cf082_2222633286999_20260803,,,,,,,,,,
天猫,中性,咨询,2026-08-03 23:28:49,上盖可以拆洗吗,小熊电器官方旗舰店,652993501043,小熊电饭煲家用3到4人小型智能电饭锅陶瓷油内胆不粘微压快煮饭,https://detail.tmall.com/item.htm?id=652993501043,bc530d3b4a1aded5d2fb58a76302f6f7656da8ba669b8d864133934a43f421ab_2217680629592_20260803,,,,,,,,,,
天猫,中性,咨询,2026-08-03 23:20:35,线多长？,小熊电器官方旗舰店,832406608200,小熊全玻璃恒温养生壶家用多功能办公室小型煮茶壶烧水壶炖煮一体,https://detail.tmall.com/item.htm?id=832406608200,39f9308b7329e5aaa62c490ae5abc7411dc9a1a46a488083cf9b38733edfb702_2217778896413_20260803,,,,,,,,,,
天猫,负向,咨询,2026-08-03 23:18:34,老板<br>售后<br>充了<br>老是闪 充一早晨了<br>没有用<br>换过充电器 确认不好用才联系你的,小熊电器官方旗舰店,953780186914,小熊桶装水电动抽水器吸水器压水器自吸全自动抽水神器水泵上水器,https://detail.tmall.com/item.htm?id=953780186914,6a39c1f003d13e1a09eb62c75997e48b5c46b0915311d51a562ec991368c8b4b_2215007019509_20260803,,,,,,,,,,
天猫,中性,咨询,2026-08-03 23:13:51,请问下这种上下水怎么安装<br>就是装好之后没法再移动了是吧<br>现在的上下水已经被洗衣机和扫地机器人占了，有什么吗,小熊电器官方旗舰店,829752288160,小熊迷你内衣内裤洗衣机专用洗袜子全自动小型迷你小型婴儿清洗机,https://detail.tmall.com/item.htm?id=829752288160,3de7dd593fa51ab8b6c42a5706ab82c8979ac38b1e791a8f1ec1fb83f023506d_2209570416623_20260803,,,,,,,,,,
天猫,中性,咨询,2026-08-03 23:12:16,我要咨询这个规格的商品<br>有优惠吗,小熊电器官方旗舰店,829752288160,小熊迷你内衣内裤洗衣机专用洗袜子全自动小型迷你小型婴儿清洗机,https://detail.tmall.com/item.htm?id=829752288160,95bd8654b97e6fa512c4ddc60333bf932cb7e91ff580ec67a414656f31d625b3_2209570416623_20260803,,,,,,,,,,
天猫,中性,咨询,2026-08-03 23:10:55,这个保修多久,小熊电器官方旗舰店,953780186914,小熊桶装水电动抽水器吸水器压水器自吸全自动抽水神器水泵上水器,https://detail.tmall.com/item.htm?id=953780186914,9f15573d44f4792a0ed42f112ed1b8c1f2010ce24d7eee9e73f879b0a40bc700_2209671807142_20260803,,,,,,,,,,
